,MSE,RMSE,MAPE
Base Model (Train),646.9238862258229,25.43469846933167,0.14191231398588292
Base Model (Test),1491.51173583773,38.62009497447838,0.1921572072778029
L1 Model (Train),646.4734262046544,25.42584170100676,0.14171230083125072
L1 Model (Test),1517.2690478918478,38.95213791169681,0.19378741012139
L2 Model (Train),647.9213556039574,25.454299354017927,0.139499589599516
L2 Model (Test),1721.8998194246474,41.49578074243992,0.2026751984296262
Elastic Net Model (Train),687.0036826258137,26.210755094537312,0.14087467071741858
Elastic Net Model (Test),1822.5110134060208,42.69087740262574,0.20621024446527644
