Code,Base Model,L1 Model,L2 Model
bias,113.97953823496132,114.98730129295646,141.38404560374832
4,1.0,0.0,0.36769542477096373
33,3.1312569016324434,2.152107289670287,1.5538009870462872
34,5.261243685592589,4.300446216737123,2.7158939774548974
35,52.45049389631601,51.94647351752884,28.90061525562361
36,1.0,0.0,0.36769542477096373
48,35.816212494721725,35.14233284136146,19.641378310240718
56,29.752475505496356,29.01032869279901,16.17312060015491
57,33.38664341432688,32.69127734974962,18.240143293215176
64,36.97190632528484,36.302090359633986,20.194793660082617
65,1.0,0.0,0.36769542477096373
66,1.0,0.0,0.36769542477096373
67,1.0,0.0,0.36769542477096373
68,1.0,0.0,0.36769542477096373
69,1.0,0.0,0.36769542477096373
70,1.0,0.0,0.36769542477096373
71,1.0,0.0,0.36769542477096373
72,1.0,0.0,0.36769542477096373
